store_name,gpu_model,gpu_name,fetch_ts,gpu_price,in_stock,url
xcom-shop,nVidia GeForce GT 710,Afox Geforce GT7,1636231705.1860778,4575,True,https://www.xcom-shop.ru//afox_geforce_gt710_687433.html
xcom-shop,nVidia GeForce GT 730,Afox GeForce GT7,1636231705.4878533,6863,True,https://www.xcom-shop.ru//afox_geforce_gt730_786107.html
xcom-shop,nVidia GeForce GTX 1660 Ti,ASUS GeForce GTX 1660 Ti TUF Gaming EVO OC,1636231705.8030446,61837,True,https://www.xcom-shop.ru//asus_geforce_gtx_1660_ti_tuf_gaming_evo_oc_tuf-gtx1660ti-o6g-evo-gaming_869344.html
xcom-shop,nVidia GeForce GT 710,ASUS GeForce GT 7,1636231706.1225939,5147,True,https://www.xcom-shop.ru//asus_geforce_gt_710_591285.html
xcom-shop,nVidia GeForce GT 730,ASUS GeForce GT 7,1636231706.4576533,7435,True,https://www.xcom-shop.ru//asus_geforce_gt_730_538628.html
xcom-shop,nVidia GeForce GT 730,ASUS GeForce GT 730,1636231706.8058078,7935,True,https://www.xcom-shop.ru//asus_geforce_gt_730_gt730-4h-sl-2gd5_873459.html
xcom-shop,nVidia GeForce RTX 3060,ASUS GeForce RTX 3060 Phoenix,1636231707.1143208,73990,True,https://www.xcom-shop.ru//asus_geforce_rtx_3060_phoenix_ph-rtx3060-12g-v2_869343.html
xcom-shop,nVidia GeForce RTX 3060 Ti,ASUS GeForce RTX 3060 Ti DUAL OC,1636231707.4263127,89002,True,https://www.xcom-shop.ru//asus_geforce_rtx_3060_ti_dual_oc_dual-rtx3060ti-o8g-v2_860499.html
xcom-shop,nVidia GeForce RTX 3070,ASUS GeForce RTX 3070 DUAL,1636231707.7253919,112950,True,https://www.xcom-shop.ru//asus_geforce_rtx_3070_dual_dual-rtx3070-8g-v2_876124.html
xcom-shop,nVidia GeForce RTX 3080,ASUS GeForce RTX 3080 ROG STRIX WHITE OC,1636231708.0745668,164421,True,https://www.xcom-shop.ru//asus_geforce_rtx_3080_rog_strix_white_oc_rog-strix-rtx3080-o10g-white-v2_866968.html
xcom-shop,nVidia GeForce RTX 3080,ASUS GeForce RTX 3080 TUF GAMING OC,1636231708.4593165,166209,True,https://www.xcom-shop.ru//asus_geforce_rtx_3080_tuf_gaming_oc_tuf-rtx3080-o10g-v2-gaming_865035.html
xcom-shop,nVidia GeForce RTX 3080,ASUS GeForce RTX 3080 TUF GAMING,1636231708.7635474,165494,True,https://www.xcom-shop.ru//asus_geforce_rtx_3080_tuf_gaming_tuf-rtx3080-10g-v2-gaming_867529.html
xcom-shop,nVidia GeForce RTX 3090,ASUS GeForce RTX 3090 EK,1636231709.029457,316333,True,https://www.xcom-shop.ru//asus_geforce_rtx_3090_ekwb_874588.html
xcom-shop,nVidia GeForce RTX 3090,ASUS GeForce RTX 3090 TURBO,1636231709.3228536,320979,True,https://www.xcom-shop.ru//asus_geforce_rtx_3090_turbo_turbo-rtx3090-24g_819720.html
